Pk,Tm,Player,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WS,WS/48,BPM,VORP,DraftYr,MPG,PPG,RPG,APG,playerurl,DraftYear
1,MIL,Glenn Robinson,Purdue,11.0,688.0,25346.0,14234.0,4189.0,1879.0,0.459,0.34,0.82,39.8,0.075,0.1,13.5,1994,36.8,20.7,6.1,2.7,https://www.sports-reference.com/cbb/players/glenn-robinson-1.html,1994
2,DAL,Jason Kidd,California,19.0,1391.0,50111.0,17529.0,8725.0,12091.0,0.4,0.349,0.785,138.6,0.133,3.8,73.5,1994,36.0,12.6,6.3,8.7,https://www.sports-reference.com/cbb/players/jason-kidd-1.html,1994
3,DET,Grant Hill,Duke,18.0,1026.0,34776.0,17137.0,6169.0,4252.0,0.483,0.314,0.769,99.9,0.138,3.0,43.6,1994,33.9,16.7,6.0,4.1,https://www.sports-reference.com/cbb/players/grant-hill-1.html,1994
4,MIN,Donyell Marshall,UConn,15.0,957.0,25027.0,10716.0,6376.0,1305.0,0.435,0.35,0.731,59.0,0.113,1.1,19.9,1994,26.2,11.2,6.7,1.4,https://www.sports-reference.com/cbb/players/donyell-marshall-1.html,1994
5,WAS,Juwan Howard,Michigan,19.0,1208.0,36654.0,16159.0,7428.0,2663.0,0.469,0.12,0.764,59.4,0.078,-1.6,3.8,1994,30.3,13.4,6.1,2.2,https://www.sports-reference.com/cbb/players/juwan-howard-1.html,1994
6,PHI,Sharone Wright,Clemson,4.0,203.0,4531.0,1974.0,1023.0,118.0,0.456,0.083,0.618,1.4,0.015,-4.8,-3.2,1994,22.3,9.7,5.0,0.6,https://www.sports-reference.com/cbb/players/sharone-wright-1.html,1994
7,LAC,Lamond Murray,California,11.0,736.0,18477.0,8286.0,3033.0,978.0,0.43,0.36,0.759,19.8,0.052,-1.2,4.0,1994,25.1,11.3,4.1,1.3,https://www.sports-reference.com/cbb/players/lamond-murray-1.html,1994
8,SAC,Brian Grant,Xavier,12.0,756.0,21417.0,7933.0,5622.0,923.0,0.49,0.214,0.746,54.5,0.122,-0.8,6.2,1994,28.3,10.5,7.4,1.2,https://www.sports-reference.com/cbb/players/brian-grant-1.html,1994
9,BOS,Eric Montross,UNC,8.0,465.0,8479.0,2071.0,2159.0,207.0,0.49,0.0,0.478,8.5,0.048,-4.4,-5.2,1994,18.2,4.5,4.6,0.4,https://www.sports-reference.com/cbb/players/eric-montross-1.html,1994
10,LAL,Eddie Jones,Temple,14.0,954.0,32778.0,14155.0,3857.0,2812.0,0.437,0.373,0.809,100.6,0.147,3.1,42.3,1994,34.4,14.8,4.0,2.9,https://www.sports-reference.com/cbb/players/eddie-jones-1.html,1994
11,OKC,Carlos Rogers,Tennessee State,8.0,298.0,5654.0,2196.0,1272.0,182.0,0.536,0.258,0.562,11.1,0.095,-1.0,1.5,1994,19.0,7.4,4.3,0.6,https://www.sports-reference.com/cbb/players/carlos-rogers-1.html,1994
12,MIA,Khalid Reeves,Arizona,6.0,277.0,5837.0,2167.0,580.0,886.0,0.416,0.363,0.744,8.4,0.069,-1.3,1.0,1994,21.1,7.8,2.1,3.2,https://www.sports-reference.com/cbb/players/khalid-reeves-1.html,1994
13,DEN,Jalen Rose,Michigan,13.0,923.0,27925.0,13220.0,3193.0,3527.0,0.443,0.355,0.801,47.2,0.081,-0.2,12.3,1994,30.3,14.3,3.5,3.8,https://www.sports-reference.com/cbb/players/jalen-rose-1.html,1994
14,BRK,Yinka Dare,George Washington,4.0,110.0,1002.0,233.0,281.0,4.0,0.396,,0.57,-0.7,-0.033,-8.4,-1.6,1994,9.1,2.1,2.6,0.0,https://www.sports-reference.com/cbb/players/yinka-dare-1.html,1994
15,IND,Eric Piatkowski,Nebraska,14.0,789.0,14613.0,5919.0,1716.0,778.0,0.434,0.399,0.839,31.0,0.102,0.2,7.9,1994,18.5,7.5,2.2,1.0,https://www.sports-reference.com/cbb/players/eric-piatkowski-1.html,1994
16,GSW,Clifford Rozier,Louisville,4.0,173.0,2984.0,827.0,897.0,98.0,0.496,0.182,0.465,3.9,0.063,-3.5,-1.1,1994,17.2,4.8,5.2,0.6,https://www.sports-reference.com/cbb/players/clifford-rozier-1.html,1994
17,POR,Aaron McKie,Temple,13.0,793.0,19156.0,5871.0,2587.0,2126.0,0.438,0.35,0.779,40.0,0.1,0.7,12.9,1994,24.2,7.4,3.3,2.7,https://www.sports-reference.com/cbb/players/aaron-mckie-1.html,1994
18,MIL,Eric Mobley,Pitt,3.0,113.0,1570.0,440.0,351.0,57.0,0.541,0.75,0.475,1.1,0.034,-4.3,-0.9,1994,13.9,3.9,3.1,0.5,https://www.sports-reference.com/cbb/players/eric-mobley-1.html,1994
19,DAL,Tony Dumas,Missouri-Kansas City,4.0,156.0,2222.0,1140.0,198.0,186.0,0.404,0.327,0.608,1.3,0.027,-3.3,-0.7,1994,14.2,7.3,1.3,1.2,https://www.sports-reference.com/cbb/players/tony-dumas-1.html,1994
20,PHI,B.J. Tyler,Texas,1.0,55.0,809.0,195.0,62.0,174.0,0.381,0.314,0.7,-0.7,-0.039,-5.0,-0.6,1994,14.7,3.5,1.1,3.2,https://www.sports-reference.com/cbb/players/b.j.-tyler-1.html,1994
21,CHI,Dickey Simpkins,Providence,7.0,327.0,5201.0,1388.0,1187.0,305.0,0.44,0.222,0.618,4.7,0.044,-4.5,-3.3,1994,15.9,4.2,3.6,0.9,https://www.sports-reference.com/cbb/players/dickey-simpkins-1.html,1994
22,SAS,Bill Curley,Boston College,5.0,147.0,1614.0,394.0,290.0,60.0,0.444,0.222,0.743,1.6,0.047,-5.3,-1.3,1994,11.0,2.7,2.0,0.4,https://www.sports-reference.com/cbb/players/bill-curley-1.html,1994
23,PHO,Wesley Person,Auburn,11.0,733.0,20727.0,8192.0,2402.0,1234.0,0.457,0.418,0.778,44.0,0.102,0.9,15.2,1994,28.3,11.2,3.3,1.7,https://www.sports-reference.com/cbb/players/wesley-person-1.html,1994
24,NYK,Monty Williams,Notre Dame,9.0,456.0,7624.0,2884.0,1296.0,544.0,0.481,0.111,0.665,11.4,0.072,-1.8,0.3,1994,16.7,6.3,2.8,1.2,https://www.sports-reference.com/cbb/players/monty-williams-1.html,1994
25,LAC,Greg Minor,Louisville,5.0,277.0,5144.0,1902.0,741.0,384.0,0.478,0.226,0.767,8.2,0.077,-1.5,0.7,1994,18.6,6.9,2.7,1.4,https://www.sports-reference.com/cbb/players/greg-minor-1.html,1994
