Pk,Tm,Player,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WS,WS/48,BPM,VORP,DraftYr,MPG,PPG,RPG,APG,playerurl,DraftYear
49,ATL,Cory Carr,Texas Tech,1.0,42.0,624.0,171.0,49.0,66.0,0.329,0.167,0.75,-1.2,-0.089,-8.2,-1.0,1998,14.9,4.1,1.2,1.6,https://www.sports-reference.com/cbb/players/cory-carr-1.html,1998
50,CHA,Andrew Betts,Cal State Long Beach,,,,,,,,,,,,,,1998,,,,,https://www.sports-reference.com/cbb/players/andrew-betts-1.html,1998
51,MIA,Corey Brewer,Oklahoma,,,,,,,,,,,,,,1998,,,,,https://www.sports-reference.com/cbb/players/corey-brewer-1.html,1998
52,SAS,Derrick Dial,Eastern Michigan,4.0,82.0,687.0,253.0,133.0,63.0,0.372,0.19,0.672,0.6,0.045,-2.2,0.0,1998,8.4,3.1,1.6,0.8,https://www.sports-reference.com/cbb/players/derrick-dial-1.html,1998
53,DAL,Greg Buckner,Clemson,10.0,570.0,10895.0,2878.0,1593.0,719.0,0.45,0.334,0.757,20.9,0.092,-0.9,3.0,1998,19.1,5.0,2.8,1.3,https://www.sports-reference.com/cbb/players/greg-buckner-1.html,1998
54,DEN,Tremaine Fowlkes,Fresno State,4.0,103.0,1233.0,301.0,228.0,54.0,0.409,0.2,0.791,2.1,0.08,-2.0,0.0,1998,12.0,2.9,2.2,0.5,https://www.sports-reference.com/cbb/players/tremaine-fowlkes-1.html,1998
55,DEN,Ryan Bowen,Iowa,10.0,507.0,6502.0,1319.0,1060.0,250.0,0.456,0.206,0.693,12.4,0.092,-0.8,2.0,1998,12.8,2.6,2.1,0.5,https://www.sports-reference.com/cbb/players/ryan-bowen-1.html,1998
56,MEM,J.R. Henderson,UCLA,1.0,30.0,331.0,97.0,47.0,22.0,0.365,0.4,0.556,-0.2,-0.025,-4.8,-0.2,1998,11.0,3.2,1.6,0.7,https://www.sports-reference.com/cbb/players/j.r.-henderson-1.html,1998
57,UTA,Torraye Braggs,Xavier,2.0,22.0,178.0,46.0,51.0,7.0,0.475,,0.667,0.3,0.071,-4.9,-0.1,1998,8.1,2.1,2.3,0.3,https://www.sports-reference.com/cbb/players/torraye-braggs-1.html,1998
58,CHI,Maceo Baston,Michigan,4.0,105.0,831.0,286.0,175.0,26.0,0.616,0.375,0.74,2.3,0.134,-1.2,0.2,1998,7.9,2.7,1.7,0.2,https://www.sports-reference.com/cbb/players/maceo-baston-1.html,1998
1,CHI,Elton Brand,Duke,17.0,1058.0,34910.0,16827.0,9040.0,2184.0,0.5,0.095,0.736,109.6,0.151,2.2,37.3,1999,33.0,15.9,8.5,2.1,https://www.sports-reference.com/cbb/players/elton-brand-1.html,1999
2,MEM,Steve Francis,Maryland,9.0,576.0,21632.0,10446.0,3215.0,3473.0,0.429,0.341,0.797,54.1,0.12,2.2,22.7,1999,37.6,18.1,5.6,6.0,https://www.sports-reference.com/cbb/players/steve-francis-1.html,1999
3,CHA,Baron Davis,UCLA,13.0,835.0,28592.0,13447.0,3183.0,6025.0,0.409,0.32,0.711,63.1,0.106,2.6,33.1,1999,34.2,16.1,3.8,7.2,https://www.sports-reference.com/cbb/players/baron-davis-1.html,1999
4,LAC,Lamar Odom,Rhode Island,14.0,961.0,32131.0,12781.0,8059.0,3554.0,0.463,0.312,0.693,77.0,0.115,1.9,31.4,1999,33.4,13.3,8.4,3.7,https://www.sports-reference.com/cbb/players/lamar-odom-1.html,1999
5,TOR,Jonathan Bender,,8.0,262.0,3847.0,1453.0,582.0,170.0,0.417,0.34,0.763,3.8,0.047,-2.6,-0.6,1999,14.7,5.5,2.2,0.6,,1999
6,MIN,Wally Szczerbiak,Miami University,10.0,651.0,20052.0,9195.0,2602.0,1532.0,0.485,0.406,0.86,53.3,0.127,0.7,13.6,1999,30.8,14.1,4.0,2.4,https://www.sports-reference.com/cbb/players/wally-szczerbiak-1.html,1999
7,WAS,Richard Hamilton,UConn,14.0,921.0,29559.0,15708.0,2852.0,3125.0,0.449,0.346,0.852,62.8,0.102,-0.2,13.2,1999,32.1,17.1,3.1,3.4,https://www.sports-reference.com/cbb/players/richard-hamilton-1.html,1999
8,CLE,Andre Miller,Utah,17.0,1304.0,40268.0,16278.0,4795.0,8524.0,0.461,0.217,0.807,100.8,0.12,1.3,33.4,1999,30.9,12.5,3.7,6.5,https://www.sports-reference.com/cbb/players/andre-miller-1.html,1999
9,PHO,Shawn Marion,UNLV,16.0,1163.0,40097.0,17700.0,10101.0,2198.0,0.484,0.331,0.81,124.9,0.15,2.7,47.6,1999,34.5,15.2,8.7,1.9,https://www.sports-reference.com/cbb/players/shawn-marion-1.html,1999
10,ATL,Jason Terry,Arizona,19.0,1410.0,42034.0,18881.0,3274.0,5415.0,0.444,0.38,0.845,102.0,0.116,1.5,37.4,1999,29.8,13.4,2.3,3.8,https://www.sports-reference.com/cbb/players/jason-terry-1.html,1999
11,CLE,Trajan Langdon,Duke,3.0,119.0,1738.0,647.0,159.0,152.0,0.416,0.396,0.91,2.9,0.079,-1.1,0.4,1999,14.6,5.4,1.3,1.3,https://www.sports-reference.com/cbb/players/trajan-langdon-1.html,1999
12,TOR,Aleksandar Radojević,Barton County Community College,2.0,15.0,152.0,26.0,36.0,7.0,0.308,,0.625,-0.4,-0.13,-11.6,-0.4,1999,10.1,1.7,2.4,0.5,https://www.sports-reference.com/cbb/players/aleksandar-radojević-1.html,1999
13,OKC,Corey Maggette,Duke,14.0,827.0,23358.0,13198.0,4022.0,1696.0,0.453,0.324,0.822,62.2,0.128,0.3,13.3,1999,28.2,16.0,4.9,2.1,https://www.sports-reference.com/cbb/players/corey-maggette-1.html,1999
14,MIN,William Avery,Duke,3.0,142.0,1205.0,379.0,93.0,199.0,0.33,0.255,0.714,-0.9,-0.034,-5.6,-1.1,1999,8.5,2.7,0.7,1.4,https://www.sports-reference.com/cbb/players/william-avery-1.html,1999
15,NYK,Frédéric Weis,,,,,,,,,,,,,,,1999,,,,,,1999
16,CHI,Metta World Peace,St. John's,17.0,991.0,31440.0,13058.0,4448.0,2631.0,0.414,0.339,0.715,61.1,0.093,1.2,25.4,1999,31.7,13.2,4.5,2.7,https://www.sports-reference.com/cbb/players/metta-world-peace-1.html,1999
17,ATL,Cal Bowdler,Old Dominion,3.0,142.0,1383.0,424.0,272.0,29.0,0.404,0.182,0.768,1.8,0.061,-3.2,-0.4,1999,9.7,3.0,1.9,0.2,https://www.sports-reference.com/cbb/players/cal-bowdler-1.html,1999
18,DEN,James Posey,Xavier,12.0,864.0,23260.0,7419.0,4061.0,1413.0,0.41,0.349,0.82,51.6,0.107,0.3,13.7,1999,26.9,8.6,4.7,1.6,https://www.sports-reference.com/cbb/players/james-posey-1.html,1999
19,UTA,Quincy Lewis,Minnesota,4.0,159.0,1853.0,567.0,210.0,96.0,0.397,0.333,0.71,0.8,0.02,-4.9,-1.4,1999,11.7,3.6,1.3,0.6,https://www.sports-reference.com/cbb/players/quincy-lewis-1.html,1999
20,ATL,Dion Glover,Georgia Tech,6.0,294.0,6132.0,2407.0,897.0,455.0,0.411,0.317,0.756,5.8,0.045,-1.8,0.3,1999,20.9,8.2,3.1,1.5,https://www.sports-reference.com/cbb/players/dion-glover-1.html,1999
21,GSW,Jeff Foster,Texas State University,13.0,764.0,15750.0,3747.0,5248.0,703.0,0.497,0.13,0.615,47.5,0.145,-0.4,6.3,1999,20.6,4.9,6.9,0.9,https://www.sports-reference.com/cbb/players/jeff-foster-1.html,1999
22,HOU,Kenny Thomas,New Mexico,11.0,632.0,17306.0,5876.0,4341.0,975.0,0.465,0.244,0.699,31.2,0.086,-1.3,3.1,1999,27.4,9.3,6.9,1.5,https://www.sports-reference.com/cbb/players/kenny-thomas-1.html,1999
23,LAL,Devean George,Augsburg College,11.0,630.0,11682.0,3536.0,1975.0,543.0,0.392,0.343,0.721,18.2,0.075,-1.5,1.4,1999,18.5,5.6,3.1,0.9,https://www.sports-reference.com/cbb/players/devean-george-1.html,1999
24,UTA,Andrei Kirilenko,,13.0,797.0,23916.0,9431.0,4352.0,2169.0,0.474,0.31,0.754,75.4,0.151,4.9,41.7,1999,30.0,11.8,5.5,2.7,,1999
25,MIA,Tim James,Miami (FL),3.0,43.0,261.0,68.0,46.0,11.0,0.329,0.333,0.652,0.0,-0.003,-7.0,-0.3,1999,6.1,1.6,1.1,0.3,https://www.sports-reference.com/cbb/players/tim-james-1.html,1999
26,IND,Vonteego Cummings,Pitt,3.0,199.0,3789.0,1381.0,373.0,534.0,0.383,0.321,0.726,2.2,0.028,-2.4,-0.3,1999,19.0,6.9,1.9,2.7,https://www.sports-reference.com/cbb/players/vonteego-cummings-1.html,1999
27,ATL,Jumaine Jones,Georgia,8.0,471.0,9780.0,3325.0,1987.0,408.0,0.424,0.349,0.704,15.1,0.074,-1.2,2.1,1999,20.8,7.1,4.2,0.9,https://www.sports-reference.com/cbb/players/jumaine-jones-1.html,1999
28,UTA,Scott Padgett,Kentucky,8.0,448.0,5613.0,1874.0,1227.0,325.0,0.41,0.373,0.736,13.2,0.113,-0.4,2.3,1999,12.5,4.2,2.7,0.7,https://www.sports-reference.com/cbb/players/scott-padgett-1.html,1999
29,SAS,Leon Smith,,2.0,15.0,104.0,33.0,33.0,3.0,0.393,,0.647,0.2,0.112,-2.9,0.0,1999,6.9,2.2,2.2,0.2,,1999
30,LAL,John Celestand,Villanova,1.0,16.0,185.0,37.0,11.0,20.0,0.333,0.222,0.833,-0.1,-0.038,-7.6,-0.3,1999,11.6,2.3,0.7,1.3,https://www.sports-reference.com/cbb/players/john-celestand-1.html,1999
31,LAC,Rico Hill,Illinois State,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/rico-hill-1.html,1999
32,CHI,Michael Ruffin,Tulsa,9.0,414.0,5966.0,716.0,1632.0,250.0,0.407,0.0,0.459,6.8,0.055,-3.3,-2.0,1999,14.4,1.7,3.9,0.6,https://www.sports-reference.com/cbb/players/michael-ruffin-1.html,1999
33,DEN,Chris Herren,Fresno State,2.0,70.0,1005.0,224.0,73.0,167.0,0.336,0.328,0.692,0.5,0.025,-4.5,-0.6,1999,14.4,3.2,1.0,2.4,https://www.sports-reference.com/cbb/players/chris-herren-1.html,1999
34,BRK,Evan Eschmeyer,Northwestern,4.0,153.0,2138.0,421.0,601.0,76.0,0.463,,0.621,4.0,0.09,-3.0,-0.5,1999,14.0,2.8,3.9,0.5,https://www.sports-reference.com/cbb/players/evan-eschmeyer-1.html,1999
35,WAS,Calvin Booth,Penn State,10.0,366.0,4477.0,1190.0,1010.0,151.0,0.451,0.222,0.748,8.0,0.086,-1.8,0.3,1999,12.2,3.3,2.8,0.4,https://www.sports-reference.com/cbb/players/calvin-booth-1.html,1999
36,DAL,Wang Zhizhi,,5.0,137.0,1256.0,604.0,231.0,39.0,0.417,0.385,0.735,2.1,0.078,-1.6,0.1,1999,9.2,4.4,1.7,0.3,,1999
37,MEM,Obinna Ekezie,Maryland,4.0,143.0,1516.0,510.0,383.0,31.0,0.423,0.0,0.72,1.7,0.054,-5.4,-1.3,1999,10.6,3.6,2.7,0.2,https://www.sports-reference.com/cbb/players/obinna-ekezie-1.html,1999
38,ORL,Laron Profit,Maryland,4.0,135.0,1537.0,441.0,209.0,166.0,0.419,0.236,0.712,0.7,0.021,-2.1,0.0,1999,11.4,3.3,1.5,1.2,https://www.sports-reference.com/cbb/players/laron-profit-1.html,1999
39,CLE,A.J. Bramlett,Arizona,1.0,8.0,61.0,8.0,22.0,0.0,0.19,,,-0.2,-0.129,-15.9,-0.2,1999,7.6,1.0,2.8,0.0,https://www.sports-reference.com/cbb/players/a.j.-bramlett-1.html,1999
40,DAL,Gordan Giriček,,6.0,384.0,8824.0,3670.0,941.0,584.0,0.442,0.368,0.823,8.0,0.044,-2.5,-1.1,1999,23.0,9.6,2.5,1.5,,1999
41,DEN,Francisco Elson,California,9.0,472.0,7207.0,1726.0,1638.0,260.0,0.478,0.188,0.7,11.7,0.078,-2.7,-1.3,1999,15.3,3.7,3.5,0.6,https://www.sports-reference.com/cbb/players/francisco-elson-1.html,1999
42,MIN,Louis Bullock,Michigan,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/louis-bullock-1.html,1999
43,CHA,Lee Nailon,TCU,6.0,306.0,5820.0,2622.0,936.0,298.0,0.474,0.111,0.786,8.0,0.066,-2.0,0.0,1999,19.0,8.6,3.1,1.0,https://www.sports-reference.com/cbb/players/lee-nailon-1.html,1999
44,HOU,Tyrone Washington,Mississippi State,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/tyrone-washington-1.html,1999
45,SAC,Ryan Robertson,Kansas,1.0,1.0,25.0,5.0,0.0,0.0,0.333,0.0,1.0,0.0,-0.022,-5.4,0.0,1999,25.0,5.0,0.0,0.0,https://www.sports-reference.com/cbb/players/ryan-robertson-1.html,1999
46,NYK,J.R. Koch,Iowa,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/j.r.-koch-1.html,1999
47,PHI,Todd MacCulloch,Washington,4.0,223.0,3439.0,1369.0,888.0,121.0,0.541,,0.642,11.9,0.166,0.3,2.0,1999,15.4,6.1,4.0,0.5,https://www.sports-reference.com/cbb/players/todd-macculloch-1.html,1999
48,MIL,Galen Young,UNC Charlotte,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/galen-young-1.html,1999
49,CHI,Lari Ketner,UMass,2.0,25.0,139.0,34.0,34.0,2.0,0.406,,0.667,0.0,-0.015,-7.4,-0.2,1999,5.6,1.4,1.4,0.1,https://www.sports-reference.com/cbb/players/lari-ketner-1.html,1999
50,HOU,Venson Hamilton,Nebraska,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/venson-hamilton-1.html,1999
51,MEM,Antwain Smith,Saint Paul's College,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/antwain-smith-1.html,1999
52,POR,Roberto Bergersen,Boise State,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/roberto-bergersen-1.html,1999
53,MIA,Rodney Buford,Creighton,5.0,230.0,4182.0,1472.0,598.0,179.0,0.412,0.3,0.758,2.9,0.033,-3.8,-1.9,1999,18.2,6.4,2.6,0.8,https://www.sports-reference.com/cbb/players/rodney-buford-1.html,1999
54,DET,Melvin Levett,Cincinnati,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/melvin-levett-1.html,1999
55,BOS,Kris Clack,Texas,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/kris-clack-1.html,1999
56,GSW,Tim Young,Stanford,1.0,25.0,137.0,54.0,35.0,5.0,0.333,,0.778,0.2,0.058,-4.9,-0.1,1999,5.5,2.2,1.4,0.2,https://www.sports-reference.com/cbb/players/tim-young-1.html,1999
57,SAS,Manu Ginóbili,,16.0,1057.0,26859.0,14043.0,3697.0,4001.0,0.447,0.369,0.827,106.4,0.19,5.0,47.6,1999,25.4,13.3,3.5,3.8,,1999
58,UTA,Eddie Lucas,Virginia Tech,,,,,,,,,,,,,,1999,,,,,https://www.sports-reference.com/cbb/players/eddie-lucas-1.html,1999
1,BRK,Kenyon Martin,Cincinnati,15.0,757.0,23134.0,9325.0,5159.0,1439.0,0.483,0.234,0.629,48.0,0.1,0.1,12.1,2000,30.6,12.3,6.8,1.9,https://www.sports-reference.com/cbb/players/kenyon-martin-1.html,2000
2,MEM,Stromile Swift,LSU,9.0,547.0,10804.0,4582.0,2535.0,275.0,0.473,0.074,0.699,21.3,0.095,-1.6,1.1,2000,19.8,8.4,4.6,0.5,https://www.sports-reference.com/cbb/players/stromile-swift-1.html,2000
3,LAC,Darius Miles,,7.0,446.0,11730.0,4507.0,2190.0,840.0,0.472,0.168,0.59,9.5,0.039,-1.0,3.0,2000,26.3,10.1,4.9,1.9,,2000
4,CHI,Marcus Fizer,Iowa State,6.0,289.0,6032.0,2782.0,1340.0,352.0,0.435,0.191,0.691,2.7,0.022,-3.7,-2.6,2000,20.9,9.6,4.6,1.2,https://www.sports-reference.com/cbb/players/marcus-fizer-1.html,2000
5,ORL,Mike Miller,Florida,17.0,1032.0,27812.0,10973.0,4376.0,2666.0,0.459,0.407,0.769,60.7,0.105,0.8,19.8,2000,26.9,10.6,4.2,2.6,https://www.sports-reference.com/cbb/players/mike-miller-1.html,2000
6,ATL,DerMarr Johnson,Cincinnati,7.0,344.0,5930.0,2121.0,769.0,304.0,0.411,0.336,0.789,6.4,0.052,-1.6,0.6,2000,17.2,6.2,2.2,0.9,https://www.sports-reference.com/cbb/players/dermarr-johnson-1.html,2000
7,CHI,Chris Mihm,Texas,8.0,436.0,8758.0,3262.0,2302.0,223.0,0.459,0.231,0.704,13.3,0.073,-3.9,-4.3,2000,20.1,7.5,5.3,0.5,https://www.sports-reference.com/cbb/players/chris-mihm-1.html,2000
8,CLE,Jamal Crawford,Michigan,20.0,1327.0,38994.0,19419.0,2948.0,4541.0,0.41,0.348,0.862,60.7,0.075,-0.1,18.4,2000,29.4,14.6,2.2,3.4,https://www.sports-reference.com/cbb/players/jamal-crawford-1.html,2000
9,HOU,Joel Przybilla,Minnesota,13.0,592.0,11733.0,2293.0,3665.0,256.0,0.552,0.0,0.557,23.0,0.094,-1.7,0.8,2000,19.8,3.9,6.2,0.4,https://www.sports-reference.com/cbb/players/joel-przybilla-1.html,2000
10,ORL,Keyon Dooling,Missouri,13.0,728.0,14134.0,5067.0,964.0,1601.0,0.416,0.349,0.799,18.5,0.063,-2.0,-0.2,2000,19.4,7.0,1.3,2.2,https://www.sports-reference.com/cbb/players/keyon-dooling-1.html,2000
11,BOS,Jérôme Moïso,UCLA,5.0,145.0,1392.0,386.0,395.0,38.0,0.489,0.0,0.593,2.1,0.074,-2.9,-0.3,2000,9.6,2.7,2.7,0.3,https://www.sports-reference.com/cbb/players/jérôme-moïso-1.html,2000
12,DAL,Etan Thomas,Syracuse,9.0,409.0,7084.0,2341.0,1927.0,149.0,0.513,,0.603,14.9,0.101,-2.1,-0.2,2000,17.3,5.7,4.7,0.4,https://www.sports-reference.com/cbb/players/etan-thomas-1.html,2000
13,ORL,Courtney Alexander,Fresno State,3.0,187.0,4067.0,1690.0,409.0,227.0,0.422,0.339,0.813,4.1,0.048,-3.7,-1.7,2000,21.7,9.0,2.2,1.2,https://www.sports-reference.com/cbb/players/courtney-alexander-1.html,2000
14,DET,Mateen Cleaves,Michigan State,6.0,167.0,1863.0,609.0,175.0,310.0,0.389,0.267,0.728,-0.8,-0.021,-5.6,-1.7,2000,11.2,3.6,1.0,1.9,https://www.sports-reference.com/cbb/players/mateen-cleaves-1.html,2000
15,MIL,Jason Collier,Georgia Tech,5.0,151.0,2178.0,841.0,443.0,51.0,0.455,0.35,0.738,1.9,0.042,-5.4,-1.9,2000,14.4,5.6,2.9,0.3,https://www.sports-reference.com/cbb/players/jason-collier-1.html,2000
16,SAC,Hedo Türkoğlu,,15.0,997.0,26695.0,11022.0,3971.0,2832.0,0.426,0.384,0.784,63.3,0.114,0.9,19.6,2000,26.8,11.1,4.0,2.8,,2000
17,OKC,Desmond Mason,Oklahoma State,10.0,643.0,19641.0,7767.0,2863.0,1049.0,0.449,0.26,0.74,23.1,0.056,-2.4,-2.1,2000,30.5,12.1,4.5,1.6,https://www.sports-reference.com/cbb/players/desmond-mason-1.html,2000
18,LAC,Quentin Richardson,DePaul,13.0,783.0,20785.0,8032.0,3666.0,1138.0,0.397,0.355,0.718,32.8,0.076,-0.4,8.5,2000,26.5,10.3,4.7,1.5,https://www.sports-reference.com/cbb/players/quentin-richardson-1.html,2000
19,CHA,Jamaal Magloire,Kentucky,12.0,680.0,14621.0,4917.0,4408.0,386.0,0.48,0.0,0.639,27.7,0.091,-2.9,-3.1,2000,21.5,7.2,6.5,0.6,https://www.sports-reference.com/cbb/players/jamaal-magloire-1.html,2000
20,PHI,Speedy Claxton,Hofstra,7.0,334.0,8548.0,3096.0,830.0,1441.0,0.409,0.193,0.762,14.2,0.08,-0.3,3.6,2000,25.6,9.3,2.5,4.3,https://www.sports-reference.com/cbb/players/speedy-claxton-1.html,2000
21,TOR,Morris Peterson,Michigan State,11.0,711.0,19366.0,7628.0,2483.0,1090.0,0.418,0.373,0.773,35.7,0.089,-0.4,7.6,2000,27.2,10.7,3.5,1.5,https://www.sports-reference.com/cbb/players/morris-peterson-1.html,2000
22,NYK,Donnell Harvey,Florida,5.0,205.0,3318.0,1150.0,827.0,161.0,0.46,0.1,0.659,4.7,0.069,-2.6,-0.5,2000,16.2,5.6,4.0,0.8,https://www.sports-reference.com/cbb/players/donnell-harvey-1.html,2000
23,UTA,DeShawn Stevenson,,13.0,824.0,18396.0,5930.0,1832.0,1355.0,0.406,0.34,0.698,12.1,0.032,-2.7,-3.5,2000,22.3,7.2,2.2,1.6,,2000
24,CHI,Dalibor Bagarić,,3.0,95.0,973.0,251.0,238.0,37.0,0.361,0.0,0.559,-0.9,-0.043,-7.9,-1.5,2000,10.2,2.6,2.5,0.4,,2000
25,PHO,Jake Tsakalidis,,7.0,315.0,5005.0,1497.0,1238.0,101.0,0.49,0.0,0.657,9.9,0.095,-3.1,-1.4,2000,15.9,4.8,3.9,0.3,,2000
26,DEN,Mamadou N'Diaye,Auburn,5.0,69.0,858.0,262.0,225.0,8.0,0.427,0.0,0.736,1.8,0.101,-4.2,-0.5,2000,12.4,3.8,3.3,0.1,https://www.sports-reference.com/cbb/players/mamadou-n'diaye-1.html,2000
27,IND,Primož Brezec,,8.0,342.0,6192.0,2452.0,1327.0,179.0,0.498,0.167,0.701,10.8,0.084,-3.1,-1.7,2000,18.1,7.2,3.9,0.5,,2000
28,POR,Erick Barkley,St. John's,2.0,27.0,266.0,77.0,21.0,40.0,0.356,0.267,0.9,0.2,0.027,-3.7,-0.1,2000,9.9,2.9,0.8,1.5,https://www.sports-reference.com/cbb/players/erick-barkley-1.html,2000
29,LAL,Mark Madsen,Stanford,9.0,453.0,5335.0,975.0,1157.0,181.0,0.457,0.063,0.527,8.2,0.074,-4.1,-2.9,2000,11.8,2.2,2.6,0.4,https://www.sports-reference.com/cbb/players/mark-madsen-1.html,2000
30,LAC,Marko Jarić,,7.0,447.0,11246.0,3193.0,1200.0,1600.0,0.404,0.344,0.73,12.1,0.052,-0.7,3.8,2000,25.2,7.1,2.7,3.6,,2000
31,DAL,Dan Langhi,Vanderbilt,4.0,133.0,1253.0,393.0,199.0,39.0,0.391,0.289,0.613,0.3,0.012,-4.6,-0.8,2000,9.4,3.0,1.5,0.3,https://www.sports-reference.com/cbb/players/dan-langhi-1.html,2000
32,CHI,A.J. Guyton,Indiana,3.0,80.0,1246.0,442.0,80.0,147.0,0.377,0.378,0.822,0.3,0.01,-2.9,-0.3,2000,15.6,5.5,1.0,1.8,https://www.sports-reference.com/cbb/players/a.j.-guyton-1.html,2000
33,CHI,Jake Voskuhl,UConn,9.0,450.0,6443.0,1814.0,1539.0,237.0,0.487,0.333,0.714,11.6,0.087,-3.8,-3.0,2000,14.3,4.0,3.4,0.5,https://www.sports-reference.com/cbb/players/jake-voskuhl-1.html,2000
34,CHI,Khalid El-Amin,UConn,1.0,50.0,936.0,314.0,81.0,145.0,0.37,0.333,0.778,0.6,0.03,-2.4,-0.1,2000,18.7,6.3,1.6,2.9,https://www.sports-reference.com/cbb/players/khalid-el-amin-1.html,2000
35,WAS,Mike Smith,Louisiana-Monroe,1.0,17.0,180.0,51.0,22.0,10.0,0.322,0.167,0.625,-0.1,-0.033,-4.2,-0.1,2000,10.6,3.0,1.3,0.6,https://www.sports-reference.com/cbb/players/mike-smith-1.html,2000
36,BRK,Soumaila Samake,,2.0,47.0,303.0,68.0,76.0,5.0,0.389,,0.462,0.3,0.046,-3.7,-0.1,2000,6.4,1.4,1.6,0.1,,2000
37,MIA,Eddie House,Arizona State,11.0,717.0,12405.0,5356.0,1223.0,1112.0,0.409,0.39,0.851,20.0,0.077,0.0,6.1,2000,17.3,7.5,1.7,1.6,https://www.sports-reference.com/cbb/players/eddie-house-1.html,2000
38,HOU,Eduardo Nájera,Oklahoma,12.0,619.0,11213.0,3052.0,2307.0,493.0,0.481,0.311,0.671,24.7,0.106,-0.9,3.0,2000,18.1,4.9,3.7,0.8,https://www.sports-reference.com/cbb/players/eduardo-nájera-1.html,2000
39,NYK,Lavor Postell,St. John's,3.0,61.0,446.0,195.0,45.0,13.0,0.335,0.25,0.795,-0.2,-0.025,-5.0,-0.3,2000,7.3,3.2,0.7,0.2,https://www.sports-reference.com/cbb/players/lavor-postell-1.html,2000
40,ATL,Hanno Möttölä,Utah,2.0,155.0,2360.0,715.0,442.0,75.0,0.442,0.063,0.783,0.9,0.019,-5.9,-2.3,2000,15.2,4.6,2.9,0.5,https://www.sports-reference.com/cbb/players/hanno-möttölä-1.html,2000
41,SAS,Chris Carrawell,Duke,,,,,,,,,,,,,,2000,,,,,https://www.sports-reference.com/cbb/players/chris-carrawell-1.html,2000
42,OKC,Olumide Oyedeji,,3.0,93.0,587.0,127.0,196.0,11.0,0.495,,0.659,1.2,0.095,-4.3,-0.3,2000,6.3,1.4,2.1,0.1,,2000
43,MIL,Michael Redd,Ohio State,12.0,629.0,20104.0,11972.0,2411.0,1338.0,0.447,0.38,0.838,55.9,0.134,2.2,21.4,2000,32.0,19.0,3.8,2.1,https://www.sports-reference.com/cbb/players/michael-redd-1.html,2000
44,DET,Brian Cardinal,Purdue,12.0,456.0,6477.0,2108.0,1050.0,465.0,0.408,0.372,0.861,15.4,0.114,-0.1,3.2,2000,14.2,4.6,2.3,1.0,https://www.sports-reference.com/cbb/players/brian-cardinal-1.html,2000
45,SAC,Jabari Smith,LSU,4.0,108.0,1063.0,329.0,178.0,66.0,0.413,0.125,0.69,1.3,0.058,-4.3,-0.6,2000,9.8,3.0,1.6,0.6,https://www.sports-reference.com/cbb/players/jabari-smith-1.html,2000
46,TOR,DeeAndre Hulett,College of the Sequoias,,,,,,,,,,,,,,2000,,,,,https://www.sports-reference.com/cbb/players/deeandre-hulett-1.html,2000
47,OKC,Josip Sesar,,,,,,,,,,,,,,,2000,,,,,,2000
48,PHI,Mark Karcher,Temple,,,,,,,,,,,,,,2000,,,,,https://www.sports-reference.com/cbb/players/mark-karcher-1.html,2000
49,MIL,Jason Hart,Syracuse,9.0,341.0,5289.0,1623.0,567.0,774.0,0.417,0.315,0.788,8.6,0.078,-1.2,1.0,2000,15.5,4.8,1.7,2.3,https://www.sports-reference.com/cbb/players/jason-hart-1.html,2000
50,UTA,Kaniel Dickens,Idaho,3.0,19.0,85.0,22.0,12.0,2.0,0.4,0.333,0.75,0.1,0.055,-3.0,0.0,2000,4.5,1.2,0.6,0.1,https://www.sports-reference.com/cbb/players/kaniel-dickens-1.html,2000
51,MIN,Igor Rakočević,,1.0,42.0,244.0,78.0,17.0,33.0,0.379,0.417,0.806,0.1,0.022,-4.9,-0.2,2000,5.8,1.9,0.4,0.8,,2000
52,MIA,Ernest Brown,Indian Hills Community College,1.0,3.0,21.0,3.0,6.0,0.0,0.167,,0.25,-0.2,-0.349,-18.2,-0.1,2000,7.0,1.0,2.0,0.0,https://www.sports-reference.com/cbb/players/ernest-brown-1.html,2000
53,DEN,Dan McClintock,Northern Arizona University,1.0,6.0,58.0,18.0,17.0,1.0,0.5,,0.0,0.0,0.007,-7.9,-0.1,2000,9.7,3.0,2.8,0.2,https://www.sports-reference.com/cbb/players/dan-mcclintock-1.html,2000
54,SAS,Cory Hightower,Indian Hills Community College,,,,,,,,,,,,,,2000,,,,,https://www.sports-reference.com/cbb/players/cory-hightower-1.html,2000
